motor time,polar angle,azimuth angle,sensor time,E
-2000-0-0 0:0:24,100,0,2020-6-26 15:59:29,17.874399
-2000-0-0 0:0:24,99,0,2020-6-26 15:59:30,18.233801
-2000-0-0 0:0:28,98,0,2020-6-26 15:59:30,18.693001
-2000-0-0 0:0:29,97,0,2020-6-26 15:59:31,18.972601
-2000-0-0 0:0:29,96,0,2020-6-26 15:59:32,19.292000
-2000-0-0 0:1:-30,95,0,2020-6-26 15:59:32,19.431801
-2000-0-0 0:1:-30,94,0,2020-6-26 15:59:33,19.551600
-2000-0-0 0:1:-30,93,0,2020-6-26 15:59:33,19.611401
-2000-0-0 0:1:-29,92,0,2020-6-26 15:59:34,19.611401
-2000-0-0 0:1:-29,91,0,2020-6-26 15:59:35,19.671301
-2000-0-0 0:1:-28,90,0,2020-6-26 15:59:35,19.691299
-2000-0-0 0:1:-28,89,0,2020-6-26 15:59:36,19.711300
-2000-0-0 0:1:-28,88,0,2020-6-26 15:59:37,19.731199
-2000-0-0 0:1:-27,87,0,2020-6-26 15:59:37,19.771200
-2000-0-0 0:1:-27,86,0,2020-6-26 15:59:38,19.711300
-2000-0-0 0:1:-26,85,0,2020-6-26 15:59:39,19.711300
-2000-0-0 0:1:-26,84,0,2020-6-26 15:59:39,19.711300
-2000-0-0 0:1:-26,83,0,2020-6-26 15:59:40,19.711300
-2000-0-0 0:1:-25,82,0,2020-6-26 15:59:40,19.671301
-2000-0-0 0:1:-25,81,0,2020-6-26 15:59:41,19.631399
-2000-0-0 0:1:-25,80,0,2020-6-26 15:59:42,19.551600
-2000-0-0 0:1:-24,79,0,2020-6-26 15:59:42,19.531601
-2000-0-0 0:1:-24,78,0,2020-6-26 15:59:43,19.451700
-2000-0-0 0:1:-23,77,0,2020-6-26 15:59:43,19.351900
-2000-0-0 0:1:-23,76,0,2020-6-26 15:59:44,19.032400
-2000-0-0 0:1:-23,75,0,2020-6-26 15:59:45,18.792900
-2000-0-0 0:1:-22,74,0,2020-6-26 15:59:46,18.313700
-2000-0-0 0:1:-22,73,0,2020-6-26 15:59:46,17.834499
-2000-0-0 0:1:-21,72,0,2020-6-26 15:59:47,17.195601
-2000-0-0 0:1:-21,71,0,2020-6-26 15:59:47,16.676399
-2000-0-0 0:1:-21,70,0,2020-6-26 15:59:48,15.877700
-2000-0-0 0:1:-20,69,0,2020-6-26 15:59:49,15.318600
-2000-0-0 0:1:-20,68,0,2020-6-26 15:59:49,14.839400
-2000-0-0 0:1:-19,67,0,2020-6-26 15:59:50,14.180500
